Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
127,-0.6984,271,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
128,-0.6976,549,White,random,0.983,0.983,0.4832,1/2-1/2,0
129,-0.9,603,White,random,0.9861,0.9861,0.3882,1/2-1/2,0
130,-0.696,556,White,random,0.4597,0.4597,0.0661,1/2-1/2,0
131,-0.6952,564,White,random,0.7854,0.7854,0.1555,1/2-1/2,0
132,-0.6944,432,White,random,0.5611,0.5611,0.515,1/2-1/2,0
133,-0.6936,463,White,random,0.471,0.471,0.3168,1/2-1/2,0
134,-0.6928,547,White,random,0.8567,0.8567,0.2544,1/2-1/2,0
135,-0.692,514,White,random,0.7563,0.7563,0.2441,1/2-1/2,0
136,-0.6912,588,White,random,0.1595,0.1595,0.1132,1/2-1/2,0
137,-0.6904,490,White,random,0.9826,0.9826,0.1894,1/2-1/2,0
138,-0.6896,595,White,random,0.1626,0.1626,0.0881,1/2-1/2,0
139,-0.6888,429,White,random,0.6433,0.6433,0.007,1/2-1/2,0
140,-1,56,White,random,0.8692,0.8692,0.6302,0-1,0
141,-0.6872,547,White,random,0.768,0.768,0.3369,1/2-1/2,0
142,-0.6864,536,White,random,0.8442,0.8442,0.2236,1/2-1/2,0
143,-0.6856,545,White,random,0.8511,0.8511,0.3966,1/2-1/2,0
144,-0.6848,377,White,random,0.7223,0.7223,0.333,1/2-1/2,0
145,-0.684,359,White,random,0.6877,0.6877,0.5048,1/2-1/2,0
146,-0.6832,319,White,random,0.4638,0.4638,0.0863,1/2-1/2,0
147,-0.6824,387,White,random,0.5746,0.5746,0.3379,1/2-1/2,0
148,-0.6816,433,White,random,0.6523,0.6523,0.4665,1/2-1/2,0
149,-0.6808,566,White,random,0.8379,0.8379,0.2397,1/2-1/2,0
150,-0.68,413,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
151,-0.6792,495,White,random,0.6338,0.6338,0.4094,1/2-1/2,0
152,-0.6784,250,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
153,-0.6776,504,White,random,0.847,0.847,0.0779,1/2-1/2,0
154,-0.6768,380,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
155,-1,110,White,random,1.2268,1.2268,0.4807,0-1,0
156,-0.6752,423,White,random,0.4033,0.4033,0.2804,1/2-1/2,0
157,-0.6744,298,White,random,0.779,0.779,0.3543,1/2-1/2,0
158,-1,366,White,random,-1.0,-1.0,-1.0,0-1,0
159,1,181,White,random,0.8723,0.8723,0.263,1-0,0
160,-0.672,340,White,random,0.7492,0.7492,0.4861,1/2-1/2,0
161,-0.6712,473,White,random,0.8917,0.8917,0.5374,1/2-1/2,0
162,-0.6704,456,White,random,0.4046,0.4046,0.0964,1/2-1/2,0
163,-1,168,White,random,0.8553,0.8553,0.2265,0-1,0
164,-0.6688,399,White,random,0.502,0.502,0.2697,1/2-1/2,0
165,-0.668,619,White,random,0.4156,0.4156,0.031,1/2-1/2,0
166,-0.6672,242,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
167,-0.6664,382,White,random,0.8244,0.8244,0.3921,1/2-1/2,0
168,-0.6656,481,White,random,0.8966,0.8966,0.356,1/2-1/2,0
169,-0.6648,696,White,random,0.6681,0.6681,0.4672,1/2-1/2,0
