Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
141,-0.6872,468,White,random,0.4331,0.4331,0.3379,1/2-1/2,0
142,-0.6864,475,White,random,0.6775,0.6775,0.1256,1/2-1/2,0
143,-0.6856,632,White,random,0.5885,0.5885,0.2377,1/2-1/2,0
144,-0.6848,368,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
145,-0.9,619,White,random,0.5619,0.5619,0.3238,1/2-1/2,0
146,-0.6832,386,White,random,0.5162,0.5162,0.3403,1/2-1/2,0
147,-0.6824,598,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
148,-1,426,White,random,0.8135,0.8135,0.2087,0-1,0
149,-0.6808,459,White,random,0.8393,0.8393,0.3779,1/2-1/2,0
150,-0.68,453,White,random,0.6015,0.6015,0.4157,1/2-1/2,0
151,1,315,White,random,0.739,0.739,0.1326,1-0,0
152,-0.6784,326,White,random,0.6457,0.6457,0.2986,1/2-1/2,0
153,-0.6776,398,White,random,0.684,0.684,0.3097,1/2-1/2,0
154,-0.6768,429,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
155,-0.676,518,White,random,0.6684,0.6684,0.2834,1/2-1/2,0
156,-0.6752,445,White,random,0.5561,0.5561,0.3767,1/2-1/2,0
157,-0.6744,514,White,random,0.9756,0.9756,0.2896,1/2-1/2,0
158,-0.6736,421,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
159,-0.6728,385,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
160,-0.672,390,White,random,0.7954,0.7954,0.518,1/2-1/2,0
161,-0.6712,413,White,random,0.5226,0.5226,0.1249,1/2-1/2,0
162,-0.6704,476,White,random,0.9977,0.9977,0.3358,1/2-1/2,0
163,-0.6696,389,White,random,0.8208,0.8208,0.3083,1/2-1/2,0
164,-0.6688,289,White,random,0.7271,0.7271,0.0972,1/2-1/2,0
165,-0.668,519,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
166,-0.6672,496,White,random,0.6362,0.6362,0.4171,1/2-1/2,0
167,-0.6664,518,White,random,0.5487,0.5487,0.3617,1/2-1/2,0
168,-0.6656,410,White,random,0.4289,0.4289,0.2627,1/2-1/2,0
169,-0.6648,458,White,random,0.7797,0.7797,0.5318,1/2-1/2,0
170,-0.664,453,White,random,0.6438,0.6438,0.3935,1/2-1/2,0
171,-0.6632,529,White,random,0.8549,0.8549,0.0789,1/2-1/2,0
172,-0.6624,329,White,random,0.5622,0.5622,0.3957,1/2-1/2,0
173,-0.6616,423,White,random,0.5852,0.5852,0.395,1/2-1/2,0
174,-0.6608,391,White,random,0.515,0.515,0.2728,1/2-1/2,0
175,-0.66,714,White,random,0.652,0.652,0.3413,1/2-1/2,0
176,-1,118,White,random,0.6873,0.6873,0.2606,0-1,0
177,1,43,White,random,0.7049,0.7049,0.3404,1-0,0
178,-0.6576,537,White,random,0.6929,0.6929,0.2799,1/2-1/2,0
179,-0.9,634,White,random,0.7322,0.7322,0.2047,1/2-1/2,0
180,1,175,White,random,0.7361,0.7361,0.117,1-0,0
181,-0.6552,568,White,random,0.6514,0.6514,0.5078,1/2-1/2,0
182,-0.6544,509,White,random,0.7178,0.7178,0.3584,1/2-1/2,0
183,-0.6536,260,White,random,-0.2555,-0.2555,-0.2555,1/2-1/2,0
184,-0.6528,492,White,random,0.7876,0.7876,0.3263,1/2-1/2,0
185,-0.652,502,White,random,0.539,0.539,0.1263,1/2-1/2,0
186,1,105,White,random,0.6678,0.6678,0.297,1-0,0
187,-0.9,394,White,random,0.8354,0.8354,0.3205,1/2-1/2,0
188,-0.6496,490,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
189,-0.9,456,White,random,0.5989,0.5989,0.1591,1/2-1/2,0
190,-1,282,White,random,-1.0,-1.0,-1.0,0-1,0
191,-0.6472,455,White,random,0.5804,0.5804,0.3955,1/2-1/2,0
192,-0.6464,312,White,random,0.795,0.795,0.1982,1/2-1/2,0
193,-1,40,White,random,0.6904,0.6904,0.2925,0-1,0
194,-0.6448,481,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
195,-1,176,White,random,-1.0,-1.0,-1.0,0-1,0
196,-0.6432,648,White,random,0.5165,0.5165,0.3978,1/2-1/2,0
197,-0.6424,374,White,random,0.7747,0.7747,0.2598,1/2-1/2,0
198,-0.6416,341,White,random,0.4067,0.4067,0.0926,1/2-1/2,0
199,-0.6408,556,White,random,0.8153,0.8153,0.4964,1/2-1/2,0
200,-0.64,458,White,random,0.5712,0.5712,0.177,1/2-1/2,0
201,-0.6392,491,White,random,1.2091,1.2091,1.0901,1/2-1/2,0
202,-0.6384,338,White,random,1.4304,1.4304,1.1095,1/2-1/2,0
203,-1,282,White,random,0.6863,0.6863,-0.039,0-1,0
204,-1,164,White,random,0.918,0.918,0.3882,0-1,0
205,-0.636,413,White,random,1.2519,1.2519,0.2525,1/2-1/2,0
206,1,185,White,random,1.3218,1.3218,0.458,1-0,0
207,-0.6344,348,White,random,1.0024,1.0024,0.4838,1/2-1/2,0
